question,answer
តើខ្ញុំអាចតាមដានការបញ្ជាទិញរបស់ខ្ញុំយ៉ាងដូចម្តេច?,សូមចូលទៅកាន់ទំព័រគណនីរបស់អ្នក ហើយចុចលើ 'ការបញ្ជាទិញ' ដើម្បីតាមដាន។

តើគោលការណ៍ត្រឡប់ទំនិញរបស់អ្នកគឺជាអ្វី?,អ្នកអាចត្រឡប់ផលិតផលណាមួយក្នុងរយៈពេល 30 ថ្ងៃបន្ទាប់ពីការដឹកជញ្ជូន។

តើការដឹកជញ្ជូនប្រើពេលប៉ុន្មាន?,ការដឹកជញ្ជូនស្តង់ដារចំណាយពេល 3-5 ថ្ងៃធ្វើការ។

តើអ្នកផ្តល់ជូនការដឹកជញ្ជូនអន្តរជាតិដែរឬទេ?,បាទ/ចាស យើងដឹកជញ្ជូនទៅកាន់ប្រទេសជាង 50។

តើអ្នកទទួលយកវិធីទូទាត់ប្រាក់អ្វីខ្លះ?,យើងទទួលយកប័ណ្ណឥណទាន, PayPal, និង Apple Pay។i

តើខ្ញុំអាចប្តូរ ឬលុបចោលការបញ្ជាទិញរបស់ខ្ញុំបានទេ បន្ទាប់ពីដាក់ហើយ?,អ្នកអាចស្នើសុំប្តូរ ឬលុបចោលការបញ្ជាទិញរបស់អ្នកក្នុងរយៈពេលជាក់លាក់មួយបន្ទាប់ពីដាក់ការបញ្ជាទិញ។ សូមទាក់ទងផ្នែកសេវាអតិថិជនភ្លាមៗ។

តើមានការចំណាយបន្ថែមសម្រាប់ការដឹកជញ្ជូនអន្តរជាតិទេ?,បាទ/ចាស ការដឹកជញ្ជូនអន្តរជាតិអាចមានថ្លៃបន្ថែម និងពន្ធនាំចូលអាស្រ័យលើប្រទេសគោលដៅ។

តើខ្ញុំត្រូវធ្វើដូចម្តេចប្រសិនបើខ្ញុំទទួលបានផលិតផលខុស ឬខូច?,សូមទាក់ទងមកយើងខ្ញុំជាមួយនឹងព័ត៌មានលម្អិត និងរូបថតនៃផលិតផលដែលខុស/ខូច ហើយយើងនឹងដោះស្រាយបញ្ហានេះជូនអ្នក។

តើខ្ញុំអាចប្រើលេខកូដបញ្ចុះតម្លៃដោយរបៀបណា?,អ្នកអាចបញ្ចូលលេខកូដបញ្ចុះតម្លៃរបស់អ្នកនៅទំព័រពិនិត្យមើលការបញ្ជាទិញមុនពេលបញ្ចប់ការទូទាត់។

តើខ្ញុំអាចបង្កើតគណនីដោយរបៀបណា?,សូមចុចលើ 'ចុះឈ្មោះ' ឬ 'បង្កើតគណនី' នៅលើគេហទំព័ររបស់យើង ហើយបំពេញព័ត៌មានដែលត្រូវការ។

តើព័ត៌មានផ្ទាល់ខ្លួនរបស់ខ្ញុំមានសុវត្ថិភាពទេ?,បាទ/ចាស យើងប្រើប្រាស់បច្ចេកវិទ្យាសុវត្ថិភាពទំនើបដើម្បីការពារព័ត៌មានផ្ទាល់ខ្លួន និងព័ត៌មានទូទាត់របស់អ្នក។

តើខ្ញុំអាចទាក់ទងផ្នែកសេវាអតិថិជនដោយរបៀបណា?,អ្នកអាចទាក់ទងមកយើងខ្ញុំតាមរយៈទម្រង់ទំនាក់ទំនងនៅលើគេហទំព័ររបស់យើង អ៊ីមែល ឬតាមរយៈលេខទូរស័ព្ទដែលបានផ្តល់។
